Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
CNOT1	23019	0.00374382992375848	0.000463211376376706	-0.475453718551284
SLC24A1	9187	0.00374675088273423	0.000463740920638199	-0.735623820940172
PAK1	5058	0.00375080408189588	0.00046441091692998	0.711052319547008
UBA5	79876	0.00375343468326099	0.000464905072288306	-0.50723130676496
SCP2	6342	0.00376070429281528	0.000465974265245388	0.546637959461535
RPN1	6184	0.00376198040216389	0.000466301210374576	-0.610355460465815
RITA1	84934	0.00377552402651256	0.000468149391251367	-0.489625069072652
AGPAT4	56895	0.00378303775178127	0.000469250834534103	-0.524513228769231
BAX	581	0.00379287715233166	0.000470641535080422	0.806849538371792
ZDHHC7	55625	0.00380371017721276	0.000472156457845465	0.562889230149572
N4BP2L1	90634	0.00380620685863711	0.000472637184304128	-0.926991742782054
PSMD10	5716	0.00380888345752687	0.000473140484245136	-0.567695186880344
CEP68	23177	0.00381043651434363	0.000473504407315779	-1.32223687963248
RPS10	6204	0.00382113103586716	0.000475004845368758	-0.291501903418803
BRF2	55290	0.00383747777881491	0.000477209124673344	-0.481931863115384
GLS	2744	0.00384209728401379	0.000477956005532749	-0.856686908752135
CFLAR	8837	0.00386034103912867	0.000480398765942818	0.638791685559829
CLPX	10845	0.0038633800122952	0.000480950327788308	-0.401408643213678
IMP3	55272	0.0038653413535752	0.00048145440989508	-0.483001656311965
SNORA29///TCP1	677812///6950	0.0038653413535752	0.000481541426088263	-0.53000080094445
PKP4	8502	0.00387655624142885	0.000483112537918949	-0.735360919350429
COX15	1355	0.00387874351796163	0.000483559192788108	-0.628471590217949
RNF11	26994	0.00388863799903152	0.000484967239568666	0.730513036474358
TRAF5	7188	0.00388993555191021	0.000485448796409378	-1.65467834353419
TMEM187	8269	0.00388993555191021	0.000485478201761984	-0.424634944957266
MRPS10	55173	0.00389639828883776	0.000486459634678753	-0.364012231619661
CHAF1A	10036	0.00389924533701173	0.000486990071933925	-0.566758007666667
POLRMT	5442	0.00391989747177014	0.000489745301862768	-0.819215416803421
DCAF8	50717	0.00392854829118059	0.000491002422965398	-0.66123156841026
ARFGEF2	10564	0.00396031030650251	0.000495149868236592	0.837570469162393
RPL18	6141	0.00396688140387474	0.000496149462487049	-0.32990506367522
MMADHC	27249	0.00398333171580398	0.000498385712142059	-0.364343818675213
PNRC1	10957	0.00399789437798333	0.000500387174985214	-0.413828620632479
SNORA29///TCP1	677812///6950	0.00401431250501711	0.000502622263115278	-0.789110749461538
RNF122	79845	0.00401460274220148	0.000502838767378016	0.270272632260686
MLEC	9761	0.0040304175437144	0.000505000483868896	-0.758771829230767
AP5M1	55745	0.00403545943550386	0.000505813319721863	-0.843171139880345
TMEM159	57146	0.00404285138158543	0.00050692445769159	-0.512204806269231
PLXNC1	10154	0.00404285138158543	0.000507102706616312	-0.96199256712393
GALK2	2585	0.00406163801592697	0.000509936570206122	-0.679133676594019
DIAPH2	1730	0.00406163801592697	0.000509983402001166	1.10325831765812
DIAPH1	1729	0.00406163801592697	0.000510005976240347	0.45608582230769
SGF29	112869	0.00406637923517222	0.00051078380286528	-0.417658353149573
MIR1908///FADS1	100302263///3992	0.00407213160562519	0.000511689112585851	-0.904004431042734
ATM	472	0.00407221293596744	0.000511882082019693	1.23115284134188
MPO	4353	0.00407600896815419	0.000512542167965178	-2.51980914748718
ERGIC2	51290	0.00407737082092741	0.000512896396852287	-0.85844787076923
WDR59	79726	0.00408351177557046	0.000513852130265205	-0.420498478564103
DNAJB1	3337	0.00408436657453873	0.000514142989794064	-1.43378660649146
SRSF7	6432	0.00409178455066512	0.000515418841590472	-0.754239928465815
MYOF	26509	0.00409178455066512	0.000515444026105865	1.53745642504273
CDCP1	64866	0.00409872056045683	0.000516501697875635	-0.42909378851282
ACTBP9	69	0.00410385683668983	0.000517333117365782	0.372240855611109
PAK2	5062	0.00410710798062839	0.000517927273058644	0.635206036264955
NPR3	4883	0.00412466736597399	0.000520326704920921	-1.53587619428633
ATP5O	539	0.00414704987396692	0.000523336366090516	-0.369616585598292
C11orf95	65998	0.00415398264411629	0.000524397665390617	-1.31724288581624
TNIP2	79155	0.00415481863597136	0.000524689657659354	0.31783584905128
PTPRC	5788	0.00415697569830929	0.000525148615120974	0.898234857675211
NAPA	8775	0.00416092915764994	0.000525834784721188	0.663476136282051
XK	7504	0.00416730377523525	0.00052682739015562	-1.52607123115385
PPP4R3A	55671	0.00417597117213738	0.000528110522060904	0.619774571602562
ENTPD4	9583	0.00417719688152995	0.000528452991474798	0.332611880786324
TIPIN	54962	0.00417935007638176	0.000528912947780665	-0.765175709606839
UNC119B	84747	0.00418976762504206	0.000530419354227153	-0.864263253790597
ATG13	9776	0.00420260552793216	0.00053223321814049	0.328036076777774
DPH5	51611	0.00420827687316614	0.000533207677840722	-0.503972220632481
TEP1	7011	0.00420827687316614	0.000533329169762653	0.332748924222222
CCT2	10576	0.00421526667265612	0.000534404180328211	-0.906314487307695
SLC35E1	79939	0.00423331587185895	0.000536882406043773	0.348539731957263
MIR4745///PTBP1	100616459///5725	0.00423858645631309	0.000537741054256478	-0.443184482076925
NLRP3	114548	0.00423861708289099	0.000537935157313455	0.79056451573077
N4BP2L1	90634	0.00424524728216532	0.000538967130155082	-0.460126831192308
CSK	1445	0.0042481145710169	0.000539639656856278	0.461436409089741
CTPS1	1503	0.0042481145710169	0.000539712442245157	-1.02040557556838
PTBP2	58155	0.00424935190559349	0.000540060341813973	0.729614526226496
LRRC23	10233	0.00425070447013126	0.000540423002462947	-0.446620052820513
SPRY1	10252	0.00425524741445835	0.000541191543893325	-1.20235112059402
SPTLC2	9517	0.0042673134262164	0.000542917630629785	0.670867216047007
EEF1D	1936	0.00426926940915143	0.000543358077653523	-0.266142655811965
STAU1	6780	0.00426982350793366	0.000543620216847273	-0.401347425141029
CLMN	79789	0.00428035545427025	0.000545153201059955	0.832733461055556
		0.00428733281043368	0.000546234252516322	-0.267595185641026
GSTZ1	2954	0.00429037915410243	0.000546833804634876	-0.508637767807691
PIGC	5279	0.00429037915410243	0.000547007457559799	-0.421322576072652
RPL5///SNORD21	6125///6083	0.00429121840377783	0.00054730703691319	-0.392498875470082
IKBKG	8517	0.00429736583875559	0.000548283941999826	0.349885967376069
ANKRD12	23253	0.00429834633784091	0.000548601938016405	1.0980986475
RPS12	6206	0.00429911817457512	0.000548893380903209	-0.286402887264957
DNAJB14	79982	0.00429947156440047	0.000549131448740463	0.649595137999996
CANX	821	0.00430434007472841	0.000549946425200906	-0.349577921358977
DCTPP1	79077	0.0043058722622746	0.000550335421754614	-0.638169943367522
POLG2	11232	0.00431027195346601	0.000551091181412946	-0.432197280504273
GM2A	2760	0.0043247948788378	0.000553142099568628	0.880089311641024
GNAI3	2773	0.00433263363804019	0.000554339115112533	0.406299453594015
COL9A2	1298	0.00433299936917573	0.000554605057395638	0.875698583628204
PPP2R5B	5526	0.00433299936917573	0.000554774814892894	0.175487836209402
SNRPD3	6634	0.0043340593097343	0.000555105024906059	-0.529860554918804
SLC22A17	51310	0.00434069707049714	0.000556149985920627	-0.252802560487181
GCDH	2639	0.00434077955779361	0.000556355356866604	-0.445303416452991
GNA11	2767	0.00434624280621359	0.000557250625918962	-0.455505806405983
GPHN	10243	0.00434655380355967	0.000557485561664657	-0.77565672475641
CD34	947	0.00435790215242992	0.000559262486584403	-2.42794730096154
EFR3A	23167	0.00435790215242992	0.000559434435283195	1.16343118432479
DND1	373863	0.00435790215242992	0.000559527804070457	-0.377448040277779
ABR	29	0.00437756243124296	0.000562248515828988	0.605793853628204
ZW10	9183	0.00438533146367103	0.000563443162073785	-0.489362703123934
VBP1	7411	0.00439755153399858	0.000565210590736074	-0.511592746290599
IFI16	3428	0.00439878794436825	0.000565640472356672	-0.75468175401282
SPECC1L-ADORA2A///ADORA2A	101730217///135	0.00439878794436825	0.00056576431578151	0.714190661717948
MRM3	55178	0.0044129215076907	0.000567870134406055	-0.5289665986453
RPL35A	6165	0.0044129215076907	0.000568026044202799	-0.46933335820513
SAR1A	56681	0.0044129215076907	0.000568176269154271	0.899406190397436
CTSB	1508	0.00441808621174596	0.000569065458322584	0.99397711793162
OIP5	11339	0.00441808621174596	0.000569237782790587	-1.27629151376068
CD163	9332	0.00441841141509102	0.000569477969041037	2.10348551664103
SWAP70	23075	0.00442594357494184	0.000570647394462501	-1.01147843974359
UGCG	7357	0.00442863982424113	0.000571193773498587	1.25860912921795
CYP2B7P	1556	0.00445669270321203	0.000575011960765363	0.415072321149572
NDUFAB1	4706	0.00447728674887018	0.000577869976652634	-0.540388165431626
STAT5B	6777	0.00448343624015243	0.000578864877391668	-0.740149475935898
CCT5	22948	0.00448639615818971	0.000579448375141138	-0.530343253987184
N4BP2L1	90634	0.00449022349171733	0.000580144210054939	-0.60314959841453
PSMG2	56984	0.00449615629518066	0.000581112513131998	-0.444483199072653
OSBPL8	114882	0.00449882334650066	0.000581882004926904	0.641782428692306
PRDX4	10549	0.00449882334650066	0.000581935761566761	-0.966471303286326
PYGL	5836	0.00449882334650066	0.000582062904813598	0.61945897324359
PPIE	10450	0.00449937864656194	0.000582394779418933	-0.610394168213677
EFHC2	80258	0.00449937864656194	0.000582538589746946	-1.22261650145727
PEX16	9409	0.00450811457111002	0.00058387194956799	0.219052142260684
NLRP1	22861	0.00452421632512745	0.000586160415143516	0.974498986696582
TRIM28	10155	0.00454305179071833	0.000588804630058544	-0.804952414175212
PTGS1	5742	0.00455211739371002	0.000590183868887863	-0.942982579807692
SNURF///SNRPN	8926///6638	0.00457732196194246	0.000593657069066719	-1.38583713000427
EWSR1	2130	0.00459577939892722	0.000596257157577462	0.349499360905983
CSNK1D	1453	0.00460709942104814	0.000597932573067864	0.688564664594016
EEF2KMT	196483	0.00461636499470983	0.000599342275712227	-0.47028449351282
PMS2CL///PMS2	441194///5395	0.00461828563236112	0.000599798887943862	-0.201274841653847
HP	3240	0.00462651712647339	0.000601165495333015	0.958617360188034
UBE2L3	7332	0.00462651712647339	0.000601435675471374	-0.732029696769231
HIP1	3092	0.00462651712647339	0.000601490827778729	1.07113027938034
TXNRD1	7296	0.00462826066665553	0.000601925208094409	-0.547625874542735
PSMF1	9491	0.00463116194775079	0.000602510366042703	-0.613203579081199
SH2D1A	4068	0.00463139067790691	0.000602747967774987	0.617210224551283
NCF4	4689	0.00463364295292874	0.000603249033184323	0.782187150602562
TUBGCP4	27229	0.00465379747515355	0.000606081778615788	-0.6765570461453
QRSL1	55278	0.00465758106898724	0.000606783549938067	-0.81233736004701
CNOT4	4850	0.00465852469805869	0.00060711554652257	-1.02858989111966
HSPA1B///HSPA1A	3304///3303	0.00466999731315237	0.000608820275308874	-2.0888456853718
SLC30A5	64924	0.00468711443234998	0.00061126215233178	-0.721310166282055
RCBTB1	55213	0.00469064361597615	0.000611932908120211	-0.777701506149576
MAP4K1	11184	0.00472062072285692	0.000616055515956915	-0.602419211641029
PEBP1	5037	0.00473597252324969	0.000618271510574579	-0.857981373910256
STOML2	30968	0.00474609097617967	0.00061987030850553	-0.881492118038464
ANP32A-IT1	80035	0.00474609097617967	0.000620018436999462	0.625303044055556
EXOC1	55763	0.00476061534851341	0.000622129511056458	-0.845129818111112
C21orf59	56683	0.00476295009247302	0.000622648369581022	-0.768800039948717
		0.00476887973779668	0.000623839634564182	0.57911894715812
ADSL	158	0.00476887973779668	0.000623851565573636	-0.541921483974358
GCOM1///POLR2M	145781///81488	0.00477015298421582	0.000624232199523104	-0.37713799455983
CHD1L	9557	0.00477263150307052	0.000624770726314083	-0.575605534978632
MPP1	4354	0.00477703769039167	0.000625730046039356	-0.537471666132479
PAXBP1	94104	0.00477703769039167	0.000625776287674608	0.519640738316238
FANCI	55215	0.00477834157238733	0.00062616153082489	-1.07438146505555
ITSN1	6453	0.0047955175151937	0.000628627503562392	0.54208324608547
C5AR1	728	0.00479732080864494	0.000629125728056211	1.59941227735043
USP20	10868	0.00479732080864494	0.000629294472183689	-0.689085444405984
STAG1	10274	0.00479991094365657	0.0006298496431922	-0.543430564115384
TSFM	10102	0.00482022107426406	0.000632731079397853	-0.534107650418806
TNPO2	30000	0.00482037877617157	0.00063296810568945	-0.522040288363249
SMARCA1	6594	0.00485021754778419	0.000637103925071324	-0.443813321200854
ZNF135	7694	0.0048564611288454	0.000638141999966761	-0.488367156713676
ATP6V0E1	8992	0.00488969860957668	0.000642728861798237	0.605407916675214
KIT	3815	0.00489851184765048	0.000644107154046399	-1.7683947805
UBL4A	8266	0.0049022269182571	0.000644815648584642	-0.558498398974361
SCAP	22937	0.00490291870530248	0.000645126672528244	-0.656466532401708
APITD1-CORT///APITD1	100526739///378708	0.00490440471897596	0.000645723549378475	-0.736029437726496
ATG3	64422	0.00490440471897596	0.000645762394896355	0.312268765559828
CD3E	916	0.00491247797626479	0.000647075769416904	0.93642205819658
CXorf40B///CXorf40A	541578///91966	0.00491247797626479	0.000647266316847526	-0.468239317247863
MS4A2	2206	0.0049250408601053	0.000649186034947339	-0.60066152998718
TAF5	6877	0.0049250408601053	0.000649363642552142	-0.824932981760684
STXBP6	29091	0.00492551954159789	0.000649647800240371	-0.459535786512822
BTN3A2	11118	0.00493092332945054	0.000650673041065044	-0.914658071564107
LCK	3932	0.00493092332945054	0.000650803101553383	1.43167843961111
LPIN2	9663	0.00493443807764674	0.000651488436226573	-0.523045379940172
SRPRB	58477	0.00494250018125509	0.000652774672774479	-0.831610446777778
MARCH8	220972	0.00494344157664656	0.000653120854536978	-1.11837261841453
PHTF1	10745	0.00496857099213305	0.000656663894979664	-1.00034939194017
MMP24-AS1	101410538	0.00497509756473282	0.000657749738621501	0.320392772017093
AHR	196	0.00497694283465727	0.000658235671613015	1.10640924965385
PRKACB	5567	0.00497694283465727	0.000658621378370364	-1.53083116813675
CFLAR	8837	0.00497694283465727	0.000658957117342859	0.666365437662395
UTP18	51096	0.00497694283465727	0.000659098214013565	-0.502003486589746
COX11	1353	0.00497694283465727	0.00065911045662943	-0.335653923619659
TBL3	10607	0.00498112690725695	0.000659888104394494	-0.551473559153849
GMEB1	10691	0.00498519231963768	0.000660650402544094	0.376567562880341
ABCG2	9429	0.00498784520583776	0.000661284359501073	-0.208307355824787
C8orf60	619426	0.00498784520583776	0.000661449651449562	0.900497362213675
DNTT	1791	0.00499601686674812	0.000662805307460857	-2.10993693049573
ARL1	400	0.00499601686674812	0.000662981729344083	-0.55549414855983
DCUN1D4	23142	0.00500666585114701	0.000664619556957899	-0.69164652315812
CEP57	9702	0.00501028246440148	0.000665324499042498	-0.608002302376073
GZMK	3003	0.00502381272987415	0.000667346662497306	0.946219434393162
ARHGEF9	23229	0.00503043367085452	0.000668451918475978	-0.354735810260683
PJA2	9867	0.00503066075724965	0.000668707856346698	0.569365822376065
EIF4B	1975	0.00503276526811566	0.000669213458215981	-0.566759697914533
GZMH	2999	0.00505488402193862	0.000672381467532472	1.28600436359402
GCDH	2639	0.00505985674637594	0.000673269992954479	-0.641161440504275
TARP	445347	0.00506948062296419	0.000674778060750877	0.403516229448717
		0.00507161828323247	0.000675290196398634	0.515637852619656
KDSR	2531	0.00507672503067168	0.000676197993584057	-0.69499412401282
TPMT	7172	0.0050849115315214	0.000677516597275369	0.403291343128205
PDCD11	22984	0.00509133779397077	0.000678601321549755	-0.378507495914531
ATP5G3	518	0.00509613293851024	0.000679469145102271	-0.419627798222221
NID1	4811	0.00509801656073513	0.000680130607392193	1.33915786602137
METTL21B	25895	0.00509801656073513	0.00068017785913322	-0.60334546386752
PCNX1	22990	0.00510029270234094	0.000680710429330071	0.348261019957264
ZNF710	374655	0.00510646862914283	0.000681763863559661	0.358213955910255
ANK1	286	0.00511226600684248	0.000682767295084289	-0.664607546452993
TRAK2	66008	0.00511446434059817	0.0006832904161002	-0.886283902175215
POLR3K	51728	0.0051317969166054	0.000685836342397832	-0.662502083149574
SLCO4A1	28231	0.00513626914888982	0.000686702141860986	-0.648191838846155
PRRC2B	84726	0.00513626914888982	0.00068700376854531	-0.710860513670942
ZMYM4	9202	0.00513626914888982	0.000687203700868258	-0.504957624487181
PURA	5813	0.00513626914888982	0.000687356038324706	-0.671570685679487
CDV3	55573	0.0051467799059194	0.00068899360316643	0.569319122884616
MTA1	9112	0.0051485009864967	0.000689497096915264	-0.815319149935899
DSCC1	79075	0.0051485009864967	0.000689686103518047	-0.81347898884188
		0.00516821198860597	0.000692558497418545	0.848014590837606
MX2	4600	0.00519332201059407	0.000696156390326459	1.23786992494017
TRIM38	10475	0.00521159461451598	0.000698839685328446	0.669634471551282
MRPL12	6182	0.00521806114743038	0.000699940976065585	-0.724245802111112
OPTN	10133	0.00522863872624072	0.000701594479713672	-1.0136395998718
CD200	4345	0.00523174160758052	0.000702399073560442	-1.4537344867735
RANBP10	57610	0.00523174160758052	0.000702599161879833	-0.434938823658121
TMEM8A	58986	0.00523174160758052	0.000702715192365862	0.580870766170939
ANXA2P3	305	0.00523575764964513	0.000703489584124109	0.302789688418803
RDH11	51109	0.00523694675775448	0.000703884375509343	-0.670122820226497
DEFB1	1672	0.00523793532441904	0.000704252310369315	1.35419385257265
FAM30A	9834	0.00524392977685382	0.000705293611328408	-2.28217633402137
MORC2	22880	0.00525702549246889	0.000707290868663184	-0.591321420923078
RLF	6018	0.00526425805237284	0.000708500197418038	0.689587014880341
PPP1R26	9858	0.00526808346498904	0.0007092514650167	-0.64291298148718
RPS17	6218	0.0052696476739377	0.000709826944542926	-0.296693121923079
USP7	7874	0.0052696476739377	0.000709935031959833	0.357171801119659
HLA-J	3137	0.00528907632277218	0.000712789848641783	0.532863346243591
JUN	3725	0.00529810215635328	0.000714243992177232	-1.04459600131624
RSL1D1	26156	0.00529878184286493	0.000714573416407536	-0.652040335743592
NSUN5P1	155400	0.00530097969590726	0.000715107703895221	-0.6155700726453
AGPAT5	55326	0.00531159087980948	0.000716777533347714	-0.950839249952993
MIR4271///C3orf62///USP4	100422952///375341///7375	0.00531186296185904	0.000717052631569897	0.205080813102563
KRI1	65095	0.00532623996867544	0.000719232422283552	-0.397830432230772
ADIPOR2	79602	0.0053730924994794	0.000725800315192434	-0.518271506982906
VAPB	9217	0.00537784742556029	0.000726683956305795	-0.500011358230769
SLC25A13	10165	0.00537804136450558	0.000726951514153876	-0.505507871418805
BTN3A2	11118	0.00539486872188853	0.000729601506794538	-0.714895554021368
NDST2	8509	0.00539486872188853	0.000729778787408212	0.347548700047009
SEMA3F	6405	0.00539486872188853	0.000730067865714574	0.303835446243587
IFT52	51098	0.00539486872188853	0.000730194500974545	-0.335768502397436
KPNA1	3836	0.00540234776171687	0.000731449230224825	-0.531887089004275
MAPK14	1432	0.00540407046600823	0.000731924995126905	-0.65123261927778
HEATR1	55127	0.00540523293147102	0.00073232501099991	-0.523603128034189
HSDL2	84263	0.00540650643227871	0.000732740179755047	0.283554181987178
C21orf33	8209	0.00540858019938026	0.000733263958278856	-0.445478255397436
HCAR3	8843	0.00541543250445463	0.000734435983864915	1.8094712541453
ZMYND11	10771	0.0054301360894615	0.00073667376019576	-0.700162160799144
NCF4	4689	0.00543688360143031	0.000737833146826068	0.84120631590171
INPP5K	51763	0.00545832636640016	0.000740988074243167	0.38945947438889
OXTR	5021	0.00545847587927762	0.000741253332616527	0.323179593581197
DDX19A	55308	0.00547241011192037	0.000743391168549251	-0.43845727877778
PRDM2	7799	0.00548297646247652	0.000745072599218189	0.776256028517091
USP22	23326	0.00550233969786397	0.000747950767169141	-0.506743666452989
ZNF862	643641	0.00550838829266493	0.000749020173530258	-0.359873125692311
SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	595100///595099///595098///595097///6124	0.00555574934546034	0.000755709566310205	-0.303858650427346
HNRNPA1P10///HNRNPA1	664709///3178	0.00555670701952947	0.000756089201777738	-0.368837842478625
ZNF692	55657	0.00555783396636806	0.0007564919633799	-0.531527156965811
ARID3B	10620	0.00557296762543536	0.000758801946576803	0.606539108209402
PDXK	8566	0.00558160945386582	0.000760229084615301	0.518394395777777
AOAH	313	0.00558892947478821	0.000761476905508998	1.40861523692735
SLC1A7	6512	0.00559622521372658	0.000762722073961658	0.281960093072648
THOP1	7064	0.00560715652358817	0.000764463560501766	-0.516692585508548
STAG3L3	442578	0.00560762398084077	0.000764778947079617	-1.48916291239316
TRMT13	54482	0.00561058083090342	0.000765433995689377	-1.07672886823932
MRPL4	51073	0.00562565114080519	0.000767742454749745	-0.579696097893163
CTIF	9811	0.00563014687318334	0.000769074750321989	0.147255827
SH3BP4	23677	0.00563014687318334	0.000769090497767233	-1.34728112406838
RBPMS	11030	0.00563014687318334	0.000769113991920751	-1.95248684652991
TGOLN2	10618	0.00563349243494552	0.000769823832715932	0.684129506786324
AKT1	207	0.00564746781318722	0.000772216800847268	0.457576478897436
RDH11	51109	0.00564746781318722	0.000772476982867717	-0.485668672935898
CALM3///CALM2///CALM1	808///805///801	0.00564746781318722	0.000772493914400872	0.371086370341881
CDT1	81620	0.0056523104046766	0.00077340997279805	-1.16398157758547
GTF2H5	404672	0.00567401042287531	0.000776633836995453	-0.663257451196582
HMGCR	3156	0.00568838088297554	0.00077885608194401	-0.650162510200857
ASGR2	433	0.00569599129346179	0.000780153723809423	0.980518812192309
PCIF1	63935	0.00570647507700639	0.000781845730381928	0.56124740105555
CUL4B	8450	0.0057322488274929	0.000785634246697631	-0.575794006666667
ERCC8	1161	0.00575036945145547	0.000788375832437125	-0.365403442585471
PLD3	23646	0.0057585423336096	0.000789754762442712	1.04506583053419
PRPF4B	8899	0.0057602379493424	0.000790245811207635	0.784976931910256
CD14	929	0.00576404640310159	0.000791026966776675	2.45864370840598
PMS2P3	5387	0.00576753873058219	0.000791829544669955	-0.383206256829062
PHF3	23469	0.00576753873058219	0.000792023897840574	-0.507674478995727
NDUFAF4	29078	0.00576959344079302	0.000792564983272784	-0.511401381294871
CTBP2	1488	0.00577081669781145	0.000792991999672336	-1.00863862871368
NPRL3	8131	0.00577501011706216	0.000793827401542045	-0.384781146619659
ATP6V0E1	8992	0.00578581981826921	0.000795572944539643	0.639279538846157
NAIP	4671	0.00579805203164534	0.000797515122604361	0.738447251576922
ARHGEF12	23365	0.00580798081950501	0.000799141461769168	-0.832903579901707
BCL7B	9275	0.00581426119258741	0.000800328134758359	0.481823879141026
ENDOD1	23052	0.00581426119258741	0.00080052745765194	-0.967490094431624
PIK3R5	23533	0.00582049186552078	0.000801646525839576	0.625671525401708
CHKB-CPT1B///CPT1B	386593///1375	0.00582589054939753	0.000802930906478378	0.901073924482906
SIGLEC6	946	0.00582589054939753	0.000803252553541444	0.414804395824786
PSMD1	5707	0.00582589054939753	0.000803404991611754	-0.482710640858976
ARF3	377	0.00582589054939753	0.000803435877498478	0.676733674341879
TFEB	7942	0.00582622458172644	0.000803743408168876	0.373440484179488
ARID3A	1820	0.00583342411162285	0.000804998390846845	0.429102706106837
CD44	960	0.00583533627898404	0.000805748819546238	0.923541409405981
RPL13P5///LRRC23	283345///10233	0.00583533627898404	0.000805786013123632	-0.302398604068378
ADGRA3	166647	0.00583582212577401	0.000806114998121098	-1.07089153943162
ARNTL2	56938	0.00584179653502414	0.000807202420290774	-0.431290135213676
APOLD1///DDX47	81575///51202	0.00585348274399616	0.000809321273607716	-0.481497110700854
STS	412	0.00585348274399616	0.000809342563131184	0.327431171235041
GABPB1	2553	0.00586089850041381	0.000810630937408578	-0.839459762106836
NCR2	9436	0.00586363974113296	0.000811273227209663	0.304632248786324
TYW1	55253	0.00588435591820018	0.00081440352069871	-0.473937367256409
TGM5	9333	0.00589611109575713	0.000816295055890623	0.669039406730768
HIST1H4J	8363	0.0058961324163983	0.000816562609927081	-0.785239418277778
RFWD3	55159	0.00590178514250176	0.000817610318848581	-0.53367905837607
EBAG9	9166	0.00590266405354238	0.000817996975153205	-0.777771879324787
UBE2D1	7321	0.0059047135481898	0.000818545983501247	0.826544295628203
ZNF451	26036	0.00590484248071846	0.000818828850039045	-0.661045461991452
TMEM50A	23585	0.00591608513168753	0.000820653374413057	0.364848615688036
TMEM223	79064	0.00591929343197878	0.00082136405742846	-0.522942525888889
SLC44A1	23446	0.00594196901994306	0.000824965038587225	0.504391240568375
WDR43	23160	0.00594196901994306	0.000825156911079134	-0.598345387324789
GINS3	64785	0.00594196901994306	0.000825310511004971	-0.633760794752139
PIGF	5281	0.00595135435076543	0.000826881168153739	-0.788977509222222
FOSB	2354	0.00596119898063901	0.00082851650330023	-1.53743993675214
MYB	4602	0.00596862462127026	0.000830053731628934	-0.401130519393161
GPRASP1	9737	0.00596862462127026	0.000830084266091484	-0.658316147880342
BFAR	51283	0.00597592523267676	0.000831367779082617	-0.634157821547008
EMC7	56851	0.00598231353162133	0.000832554280234664	0.370270722923077
GNA12	2768	0.00598231353162133	0.00083279345577747	-0.396524044149571
GFPT1	2673	0.00600471638942549	0.000836181616316801	0.706593340350426
MLF1	4291	0.00602278606425688	0.000838968179484511	-0.77594815754701
HCFC2	29915	0.00603895076688492	0.000841490918241605	0.440501354226495
MKS1	54903	0.00604895747785506	0.000843156752960455	-0.227191723897437
SGK1	6446	0.00606628458960271	0.000845844196019191	2.01148215171795
PLPPR3	79948	0.0060685989267376	0.000846439234586926	0.991309635837606
MAML1	9794	0.00607004617835312	0.00084715200885246	-0.570524370713673
DNAJB12	54788	0.00607004617835312	0.000847209525468014	0.458173551021368
ENTPD1-AS1	728558	0.00607004617835312	0.000847651479939403	-0.63527674791453
LIMCH1	22998	0.00607004617835312	0.000847868906357109	-0.421052971213676
SNUPN	10073	0.00607004617835312	0.000848009842197045	-0.686651534222224
GSTO1	9446	0.00607004617835312	0.000848275537377894	-0.430777770465813
TTC1	7265	0.00607034960906377	0.000848816727934572	-0.465989843551282
MZF1	7593	0.00607034960906377	0.000848953911126277	-0.48557100873077
TCEB1	6921	0.00607034960906377	0.000849135203134757	0.495206097576924
PLD1	5337	0.00607806687264697	0.000850487479644269	0.411257204581196
NRIP1	8204	0.00614829470234444	0.000860623013843906	-1.39316504294017
PRDM14	63978	0.00614829470234444	0.000860866107405406	0.213983965940171
TNFRSF1A	7132	0.00615957168575219	0.00086272150209723	-0.895217108423076
PIP4K2A	5305	0.00617348329542843	0.000864947038025739	-0.381349515418806
EXOSC2	23404	0.00617386843178368	0.000865278064554163	-0.639062933760683
COX11	1353	0.00617773187929139	0.000866096772916857	-0.682300571461541
SPTA1	6708	0.00619334135496889	0.000868563107942278	-0.675534615094018
UBTF	7343	0.00621435151872013	0.000871788486627434	-0.48480693707265
RANGAP1	5905	0.00621580732645014	0.000872271664937826	-0.536478011111111
SH3BP5	9467	0.00621627579377427	0.000872616374946188	1.37868186217949
CLEC4A	50856	0.00623509873471429	0.00087553847959974	1.30196060706837
DNAJC8	22826	0.00625415083006139	0.000878885034423575	0.23960169838889
PYGB	5834	0.00625415083006139	0.000878972456721734	0.255574307645299
EIF4G2	1982	0.00625415083006139	0.000879360943923674	0.299614723008547
CHKB-CPT1B///CPT1B	386593///1375	0.00625415083006139	0.00087958228832612	0.948390695649573
EIF1	10209	0.00625415083006139	0.000879617138689243	0.492360748833334
RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	100526842///100124516///497661///26791///26790///6139	0.00625528608780282	0.000880057527499074	-0.303689393034187
HNRNPA2B1	3181	0.00628683193542739	0.000884777855293287	-0.329415782991452
CDC42EP3	10602	0.00629255590568816	0.000885876728705068	1.27432934457265
KPTN	11133	0.00629255590568816	0.000886148204104	0.280941662581197
CHPT1	56994	0.00629465639049066	0.000886726491484549	-0.498584184239316
RPS10	6204	0.00629859786124457	0.000887564389189424	-0.289334500256411
TIMP3	7078	0.00630502180572462	0.00088875256885433	-0.298717126551283
CFLAR	8837	0.0063107119593454	0.000889837857391879	0.483080048059828
